id,Matricula,local,em_atividade,administador
1,497360,Le Perreux-sur-Marne,true,false
2,290178,Haruai,false,false
3,514149,Maleevsk,false,false
4,967752,Santa Magdalena,false,false
5,450179,Järfälla,true,true
6,677405,San Miguel,true,true
7,333541,Shalizhai,false,false
8,083166,Labin,false,false
9,152160,Lugo,true,false
10,834053,Tonghae,false,true
11,411109,Xiushan,false,false
12,321871,Sydney,true,true
13,433316,Cláudio,false,false
14,981688,Böhöt,true,true
15,331301,Espinal,true,true
16,775864,Luwingu,false,false
17,003138,Marapanim,true,false
18,934161,Kiupo,true,false
19,205243,Dengfang,false,true
20,370741,Mekarsari,false,false
21,389473,Pinhal de Frades,false,true
22,814873,Demak,false,true
23,171967,Liqizhuang,false,false
24,684630,Governador Valadares,false,true
25,937931,Mueang Phuket,true,true
26,162972,Masindi,true,true
27,373723,Dinititi,true,true
28,095249,Agusan,true,true
29,854937,Samagaltay,true,true
30,984059,Yanping,true,true
31,422088,Drochia,false,true
32,191163,Ash Shaykh Zuwayd,true,true
33,718310,Kōnan,true,true
34,457935,Yangqiaodian,true,true
35,512469,Limón,true,true
36,442484,Chaves,false,true
37,707689,Kozyatyn,false,false
38,744505,Dabagou,false,true
39,167613,Beaune,false,true
40,004125,Ronggui,true,true
41,920773,Homagama,false,true
42,157729,Penja,true,false
43,525170,Falun,false,false
44,737272,Rio de Janeiro,false,false
45,644477,Dzoraghbyur,false,true
46,866940,Māmūnīyeh,false,false
47,104223,Huimin,false,false
48,619107,Huicheng,true,false
49,967940,Chantepie,true,false
50,112058,Pervomaysk,false,true
51,014106,Ma Đa Gui,true,false
52,798361,Palon,false,false
53,148634,Xiping,false,false
54,360984,Potolo,false,false
55,582605,Waitara,false,false
56,649706,Lucerna,false,true
57,797598,Djounie,false,false
58,475173,El Asintal,false,false
59,699782,Stockholm,false,false
60,862571,Laocheng,false,true
61,233382,Soho,true,false
62,885598,Lahan Sai,true,false
63,976795,Vila Chã,true,true
64,794699,Xincun,false,false
65,358456,Vila de Rei,true,true
66,199216,Kafir Qala,false,false
67,358401,Rancabungur,false,false
68,535157,Burayevo,false,false
69,516878,Bistrinci,true,false
70,032822,Chengzihe,false,true
71,465560,Beisijia,true,false
72,734684,Hejiaping,false,true
73,996787,Kraskino,true,true
74,222382,Sukarame,true,false
75,973742,Melchor de Mencos,true,true
76,127392,Skoghall,false,false
77,151150,Xibing,false,true
78,837044,Hengdian,false,true
79,482060,Shiziling,false,false
80,096055,Kamwenge,false,true
81,298114,Nizhnevartovsk,true,false
82,497318,Zhencheng,true,false
83,006444,Stockholm,false,false
84,861162,Bulu,false,true
85,247606,Leiyang,false,false
86,201635,Xindeng,false,true
87,177409,Łubnice,true,false
88,931837,Xishaping,true,true
89,218181,Hasaki,false,false
90,455021,Lunyuk Ode,true,false
91,442370,Aranđelovac,false,true
92,190822,Orangeville,false,false
93,409674,Santa Ana,false,true
94,469390,Fredericton,true,true
95,112058,Sidomukti,true,false
96,940380,Uurainen,false,false
97,915781,Fuli,false,true
98,277542,Velké Losiny,false,true
99,987153,Würzburg,true,true
100,529781,Verkhniye Achaluki,true,false
101,412244,Bennäs,true,true
102,162376,Rakszawa,true,false
103,293325,Dongkeng,true,true
104,030812,Salamina,false,false
105,963820,Jinlong,false,true
106,361008,Quinocay,true,true
107,705972,Douma,false,true
108,605433,Houston,true,true
109,952059,Maliuzui,true,true
110,945646,Trzebinia,false,false
111,813159,Cergy-Pontoise,false,false
112,989947,Velasco Ibarra,true,false
113,409748,Itaguaí,true,false
114,838116,Caspisapa,false,true
115,324909,Orlovskiy,false,false
116,082409,Nong Don,false,true
117,098997,San Antonio Suchitepéquez,true,false
118,310450,Curuzú Cuatiá,false,false
119,289815,Siocon,false,false
120,018942,Kristinehamn,false,false
121,682539,Desa Gegempalan,false,false
122,274324,Caicun,false,false
123,387586,Nagato,false,true
124,394061,Arjasari,false,true
125,839532,Marly-le-Roi,false,true
126,448984,Jiabeiyan,true,true
127,035499,Gelin,false,false
128,526086,Thị Trấn Lâm,true,false
129,767469,Loay,true,false
130,452608,Vale da Bajouca,true,false
131,432838,Pechersk,true,true
132,942601,Kolomyya,false,false
133,038359,Jarocin,true,false
134,173933,Mealhada,true,false
135,366023,Bueng Kan,false,true
136,357588,Futtsu,true,false
137,761445,San Carlos,true,false
138,911769,Calaoagan,false,false
139,290363,Zhongshanmen,false,true
140,118723,Chenguang,true,true
141,476007,Drásov,true,false
142,869906,Värmdö,true,false
143,308249,Portão,false,false
144,619006,Datuan,true,false
145,539278,Babakanloa,true,true
146,067111,Timba Timuk,true,true
147,599255,Trnava,false,false
148,094864,Renfrew,false,false
149,154492,Topeka,true,true
150,933159,Paris 03,true,true
151,035016,Pécs,false,true
152,636663,Tubli,false,false
153,903083,Thị Trấn Triệu Sơn,true,false
154,772302,Xundian,true,false
155,674886,Zhengyangshan,false,false
156,705670,Zhentou,true,true
157,147568,Doropayung,true,false
158,665569,Baishui,false,true
159,539847,Fucha,false,true
160,143229,Drammen,true,true
161,028023,Beraim,true,true
162,310837,Saint-Péray,false,true
163,998864,Aheloy,true,true
164,058520,Guarabira,false,false
165,099461,Gangmian,true,false
166,693801,El Peñol,false,false
167,886299,Jämsänkoski,false,true
168,645214,Mjamaoué,false,true
169,453951,Wendo,true,false
170,811810,Tanarara,false,true
171,372667,Zhiletovo,true,false
172,153591,Mont-de-Marsan,true,false
173,729230,Gaoqiaolou,false,false
174,880694,Svalöv,true,true
175,396252,Shifang,false,true
176,684412,São Raimundo Nonato,true,true
177,886403,Kuče,false,false
178,960169,Roissy Charles-de-Gaulle,true,true
179,974019,Zhagang,true,false
180,636580,Haoraoshan,false,true
181,922410,Uzdin,true,true
182,503214,Motala,false,true
183,984329,Souto da Casa,false,false
184,956446,Gjirokastër,false,false
185,033998,Tanahedang,false,true
186,151305,Bykhaw,false,true
187,248209,Samut Songkhram,false,false
188,645740,Ritaebang,false,false
189,386248,Pórto Chéli,true,false
190,818143,Huolongping,false,false
191,597737,Ituberá,true,true
192,809143,Bayanhoshuu,false,false
193,911172,Kalibunder,false,false
194,267600,Peraía,true,false
195,575731,pamas,false,true
196,894517,Songhe,true,false
197,084174,Skuhrov nad Bělou,false,true
198,218063,Huatanshan,false,false
199,405505,Ipaba,true,false
200,730628,Sulyukta,false,false
201,896909,Bagong Barrio,true,false
202,336347,Dar Chabanne,false,false
203,084113,Žďár nad Sázavou Druhy,false,true
204,776231,Darovskoy,true,false
205,974976,Shalinskoye,false,true
206,061453,Bratislava,true,false
207,320529,Keleleng,false,false
208,239420,Abū Zabad,true,true
209,354572,Tumba,true,true
210,658251,Vilca,true,true
211,044529,Caicun,true,false
212,272045,Mzuzu,true,true
213,588781,Petrodvorets,true,true
214,049745,Khvalovo,true,true
215,155078,Serzedo,false,false
216,778675,Duwakkandung,true,false
217,032300,San Rafael,true,true
218,117093,Tracal,false,false
219,879091,Salinas,false,true
220,603793,Évreux,true,false
221,696776,Otrado-Kubanskoye,false,false
222,576914,Diriamba,false,true
223,189081,Sergelen,false,false
224,437211,Azurduy,false,true
225,229608,Larap,false,false
226,456908,Beigong,true,false
227,104186,Murillo,false,false
228,625974,Naghalin,false,true
229,684511,La Curva,true,true
230,064741,Żyraków,true,false
231,586779,Västerås,false,false
232,317980,Yala,false,false
233,674906,Huntsville,true,false
234,267692,Puteaux,true,true
235,965030,Dinskaya,false,true
236,600593,Sanhe,true,true
237,955572,Kruty,false,false
238,943552,Paris 13,true,true
239,757500,Puyan,false,true
240,391915,Buliran Segundo,false,false
241,084207,Carcar,false,false
242,507422,Fort Smith,false,true
243,275340,Rovnoye,true,false
244,991262,Maomiaoji,true,true
245,884532,Tabatinga,false,false
246,637874,Aix-en-Provence,true,false
247,396215,Beizhang,false,false
248,059057,Tayum,true,false
249,406684,Llazicë,false,false
250,838434,Puconci,false,false
251,972971,Villa Nueva,false,false
252,920087,Mendoza,false,false
253,750938,Longford,false,false
254,714449,Estacion,true,false
255,521673,Oliveirinha,false,false
256,759313,Viçosa do Ceará,true,true
257,569383,Frederiksberg,false,true
258,097696,Najrān,true,true
259,169505,Jinquan,true,true
260,626646,Wuku,true,false
261,850199,Baisangguan,true,false
262,754934,Vysotskoye,false,false
263,405333,Göteborg,true,false
264,698997,Olsztynek,false,true
265,778368,Panzhuang,false,false
266,065321,Nakhon Luang,true,false
267,473659,Portëz,false,true
268,093612,Shifang,false,false
269,491177,Braunschweig,false,false
270,638052,Oubei,false,true
271,991964,Asemanis,true,true
272,414713,Houston,false,true
273,473335,Vapnyarka,true,true
274,632180,Shilaoren,true,true
275,505675,Mandala,true,true
276,272475,Chodová Planá,true,true
277,823846,Quảng Yên,false,false
