id,Matricula,local,em_atividade,administador
1,172407,Trakan Phut Phon,false,false
2,391791,Paragominas,false,true
3,009385,Gondomar,false,true
4,778049,Hyżne,false,true
5,708335,Barice,false,true
6,379726,Munkedal,false,true
7,408833,Yicheng,false,true
8,779176,Mabini,true,false
9,152364,Ambarawa,false,false
10,380060,Umm Ruwaba,true,false
11,906148,Belsh,true,true
12,899625,Pokrov,false,false
13,142638,Jiazhuyuan,false,false
14,598088,Brooklyn,true,true
15,170873,Dauphin,false,true
16,741924,Chiang Rai,false,false
17,004588,Lakshmīpur,true,false
18,078718,Amouguer,false,true
19,467483,Ozalj,true,true
20,346571,Pasadena,false,false
21,625285,Titao,true,false
22,549394,Umeå,false,true
23,641136,Skýros,false,true
24,168987,Tuka,false,false
25,182613,Tandel,true,false
26,972631,Kwale,true,false
27,588391,Malway,false,false
28,173359,Köln,false,false
29,954050,Qiaoyi,false,false
30,477843,Yimamu,true,true
31,539109,Gardēz,true,false
32,355717,Otaniemi,true,false
33,775828,Marčelji,false,true
34,270433,Sievi,false,true
35,185579,Ketanggungan,false,true
36,227548,Tiantang,false,false
37,812468,Semirara,false,true
38,213484,Langtang,true,false
39,572600,Maicao,false,false
40,924130,Daohe,true,true
41,084448,Dimitrovgrad,true,false
42,880287,Bulung’ur,false,true
43,467880,Chexi,false,true
44,774681,Hamanoichi,false,false
45,063237,Jiantou,true,true
46,377833,Pellegrini,true,true
47,234049,Lingzhi,true,true
48,122928,Štěnovice,false,false
49,083955,Helmsange,true,true
50,751197,Gelgaudiškis,false,false
51,800577,Buenos Aires,false,false
52,270552,Kudanding,false,false
53,671226,Arras,true,true
54,162365,Zapolyarnyy,true,false
55,129521,Amboasary,false,false
56,839268,Kepoh,false,true
57,712990,Jiefang,false,true
58,459543,Guandu,false,false
59,793114,Krajan Waturoyo,true,false
60,107057,Pandian,false,false
61,105812,Bissen,true,true
62,571739,Chynadiyovo,true,true
63,810462,Krajan Tanjungrejo,true,false
64,205645,Karangasem,true,false
65,062847,Sumuragung,false,true
66,824019,København,true,true
67,416660,Lodan Wetan,false,false
68,942869,Alameda,false,true
69,827403,Malawa,false,false
70,336983,Surgut,false,true
71,511377,Gotse Delchev,true,false
72,184628,Sypniewo,true,false
73,982773,Changfu,false,false
74,693412,Varazqān,true,true
75,520108,Le Havre,true,false
76,151919,Bizana,false,true
77,124519,Mahaica Village,false,true
78,453629,Haljala,false,true
79,924808,Naran Bulag,true,false
80,041049,Hamonggolele,false,true
81,442010,Tempursari Wetan,false,false
82,313393,Rohia,true,false
83,133260,Zhangqing,false,true
84,695857,Šuto Orizare,false,true
85,468480,Tukan,false,true
86,085856,Xinglong,true,false
87,290505,Gulou,false,true
88,724758,Moussoro,false,true
89,507410,Ligang,true,false
90,340847,Villa Nueva,true,false
91,865763,Chelbasskaya,true,true
92,476946,Navotas,false,true
93,315953,Hāgere Hiywet,true,false
94,016896,Chengguan,true,false
95,181545,Si Narong,false,true
96,023589,Rokem Barat,true,true
97,087985,Jocón,false,true
98,593979,Concepción del Uruguay,false,true
99,193529,Mahong,true,true
100,865187,Saparua,true,false
101,079855,San José,true,false
102,914837,Banjar Kampungbugis,true,true
103,273618,Bāndarban,false,true
104,449021,Itaboraí,true,false
